Indicator,Country,Year,Value
"Rate of out-of-school children of primary school age, male (%)",Niger,2000,68.15675
"Rate of out-of-school children of primary school age, male (%)",Niger,2001,63.8724
"Rate of out-of-school children of primary school age, male (%)",Niger,2002,59.50349
"Rate of out-of-school children of primary school age, male (%)",Niger,2003,55.41557
"Rate of out-of-school children of primary school age, male (%)",Niger,2004,51.36204
"Rate of out-of-school children of primary school age, male (%)",Niger,2005,51.90564
"Rate of out-of-school children of primary school age, male (%)",Niger,2006,50.70169
"Rate of out-of-school children of primary school age, male (%)",Niger,2007,49.6254
"Rate of out-of-school children of primary school age, male (%)",Niger,2008,46.68302
"Rate of out-of-school children of primary school age, male (%)",Niger,2009,42.92146
"Rate of out-of-school children of primary school age, male (%)",Niger,2010,38.83035
"Rate of out-of-school children of primary school age, male (%)",Niger,2011,34.07561
"Rate of out-of-school children of primary school age, male (%)",Niger,2012,33.22541
"Rate of out-of-school children of primary school age, male (%)",Niger,2013,33.75219
"Rate of out-of-school children of primary school age, male (%)",Niger,2014,34.15682
"Rate of out-of-school children of primary school age, male (%)",Niger,2015,32.43367
"Rate of out-of-school children of primary school age, male (%)",Niger,2016,31.42747
"Rate of out-of-school children of primary school age, male (%)",Togo,2001,2.43708
"Rate of out-of-school children of primary school age, male (%)",Togo,2003,2.27621
"Rate of out-of-school children of primary school age, male (%)",Togo,2004,0.10379
"Rate of out-of-school children of primary school age, male (%)",Togo,2005,1.48859
"Rate of out-of-school children of primary school age, male (%)",Togo,2007,4.04662
"Rate of out-of-school children of primary school age, male (%)",Togo,2008,3.35699
"Rate of out-of-school children of primary school age, male (%)",Togo,2014,5.36651
"Rate of out-of-school children of primary school age, male (%)",Togo,2016,5.95438
"Rate of out-of-school children of primary school age, male (%)",Namibia,2000,13.36151
"Rate of out-of-school children of primary school age, male (%)",Namibia,2001,12.64106
"Rate of out-of-school children of primary school age, male (%)",Namibia,2002,11.59121
"Rate of out-of-school children of primary school age, male (%)",Namibia,2003,11.82281
"Rate of out-of-school children of primary school age, male (%)",Namibia,2004,14.32913
"Rate of out-of-school children of primary school age, male (%)",Namibia,2005,14.39055
"Rate of out-of-school children of primary school age, male (%)",Namibia,2006,16.5214
"Rate of out-of-school children of primary school age, male (%)",Namibia,2007,14.39512
"Rate of out-of-school children of primary school age, male (%)",Namibia,2008,14.73184
"Rate of out-of-school children of primary school age, male (%)",Namibia,2009,14.84691
"Rate of out-of-school children of primary school age, male (%)",Namibia,2010,14.95039
"Rate of out-of-school children of primary school age, male (%)",Namibia,2012,12.8525
"Rate of out-of-school children of primary school age, male (%)",Namibia,2013,10.70097
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2000,35.759
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2001,31.69058
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2002,30.7469
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2003,38.39102
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2009,38.93432
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2013,27.89294
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2014,21.49585
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2015,17.57619
"Rate of out-of-school children of primary school age, male (%)",Cote d'Ivoire,2016,7.67293
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2002,1.36295
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2003,0.92014
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2005,0.15655
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2007,11.09101
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2008,9.8677
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2009,10.17621
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2010,9.42143
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2013,9.36106
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2014,8.34667
"Rate of out-of-school children of primary school age, male (%)",Sao Tome and Principe,2015,7.58842
"Rate of out-of-school children of primary school age, male (%)",Chad,2000,37.93413
"Rate of out-of-school children of primary school age, male (%)",Chad,2001,37.26719
"Rate of out-of-school children of primary school age, male (%)",Chad,2002,33.27414
"Rate of out-of-school children of primary school age, male (%)",Chad,2003,32.0424
"Rate of out-of-school children of primary school age, male (%)",Chad,2011,29.12898
"Rate of out-of-school children of primary school age, male (%)",Congo,2005,53.18627
"Rate of out-of-school children of primary school age, male (%)",Congo,2006,42.55459
"Rate of out-of-school children of primary school age, male (%)",Congo,2010,13.8951
"Rate of out-of-school children of primary school age, male (%)",Congo,2012,16.37951
"Rate of out-of-school children of primary school age, male (%)",Algeria,2000,7.90494
"Rate of out-of-school children of primary school age, male (%)",Algeria,2001,5.86167
"Rate of out-of-school children of primary school age, male (%)",Algeria,2002,4.8439
"Rate of out-of-school children of primary school age, male (%)",Algeria,2003,4.46255
"Rate of out-of-school children of primary school age, male (%)",Algeria,2004,3.76041
"Rate of out-of-school children of primary school age, male (%)",Algeria,2005,3.46148
"Rate of out-of-school children of primary school age, male (%)",Algeria,2006,3.22335
"Rate of out-of-school children of primary school age, male (%)",Algeria,2007,3.18795
"Rate of out-of-school children of primary school age, male (%)",Algeria,2008,1.99378
"Rate of out-of-school children of primary school age, male (%)",Algeria,2016,
"Rate of out-of-school children of primary school age, male (%)",Tunisia,2000,3.3292
"Rate of out-of-school children of primary school age, male (%)",Tunisia,2001,1.92049
"Rate of out-of-school children of primary school age, male (%)",Tunisia,2005,0.92746
"Rate of out-of-school children of primary school age, male (%)",Tunisia,2006,1.40252
"Rate of out-of-school children of primary school age, male (%)",Tunisia,2007,2.12224
"Rate of out-of-school children of primary school age, male (%)",Tunisia,2008,1.62233
"Rate of out-of-school children of primary school age, male (%)",Tunisia,2009,1.05739
"Rate of out-of-school children of primary school age, male (%)",Benin,2006,5.00619
"Rate of out-of-school children of primary school age, male (%)",Benin,2008,3.48216
"Rate of out-of-school children of primary school age, male (%)",Benin,2011,0.13738
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2000,38.64769
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2001,34.67482
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2002,40.78144
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2004,28.14282
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2005,23.28522
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2006,19.72892
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2007,14.61542
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2008,11.49495
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2009,10.79364
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2010,9.31815
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2011,11.73082
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2012,11.46504
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2013,10.31902
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2014,9.76888
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2015,8.14504
"Rate of out-of-school children of primary school age, male (%)",Mozambique,2016,9.75956
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2001,1.78772
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2002,2.33295
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2003,2.73796
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2004,5.03349
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2005,5.42865
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2006,6.37538
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2007,7.6251
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2008,9.44342
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2009,10.62799
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2010,11.90633
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2011,12.55737
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2012,12.02146
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2013,12.68267
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2014,12.40246
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2015,12.43861
"Rate of out-of-school children of primary school age, male (%)",Cape Verde,2016,12.76583
"Rate of out-of-school children of primary school age, male (%)",Seychelles,2000,8.53264
"Rate of out-of-school children of primary school age, male (%)",Seychelles,2001,14.73177
"Rate of out-of-school children of primary school age, male (%)",Seychelles,2002,6.45507
"Rate of out-of-school children of primary school age, male (%)",Seychelles,2003,4.10495
"Rate of out-of-school children of primary school age, male (%)",Seychelles,2004,4.32541
"Rate of out-of-school children of primary school age, male (%)",Seychelles,2005,3.73832
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2000,39.563
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2001,35.88994
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2002,37.42467
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2003,34.75367
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2004,28.44445
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2005,30.24295
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2006,27.61819
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2007,27.10121
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2008,30.9149
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2009,31.32174
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2010,31.05613
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2011,30.97611
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2012,32.64074
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2013,29.28122
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2014,27.23487
"Rate of out-of-school children of primary school age, male (%)",Mauritania,2016,30.64703
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2000,69.39026
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2001,66.44794
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2002,64.76601
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2004,60.79424
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2005,59.49455
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2006,56.35184
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2007,53.52868
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2008,51.01066
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2009,52.01354
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2011,43.17473
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2013,42.7446
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2014,33.61862
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2015,41.1907
"Rate of out-of-school children of primary school age, male (%)",Djibouti,2016,44.64141
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2000,28.51488
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2001,23.91521
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2002,25.70323
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2003,29.75658
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2008,52.88115
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2009,54.34801
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2010,55.33897
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2011,54.48114
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2012,53.11042
"Rate of out-of-school children of primary school age, male (%)",Equatorial Guinea,2015,56.25593
"Rate of out-of-school children of primary school age, male (%)",Nigeria,2000,28.15097
"Rate of out-of-school children of primary school age, male (%)",Nigeria,2004,27.3435
"Rate of out-of-school children of primary school age, male (%)",Nigeria,2005,27.11468
"Rate of out-of-school children of primary school age, male (%)",Nigeria,2006,27.25575
"Rate of out-of-school children of primary school age, male (%)",Nigeria,2007,20.97603
"Rate of out-of-school children of primary school age, male (%)",Nigeria,2008,28.72307
"Rate of out-of-school children of primary school age, male (%)",Nigeria,2009,27.85208
"Rate of out-of-school children of primary school age, male (%)",Nigeria,2010,28.29327
"Rate of out-of-school children of primary school age, male (%)",Guinea,2000,47.79158
"Rate of out-of-school children of primary school age, male (%)",Guinea,2001,44.65356
"Rate of out-of-school children of primary school age, male (%)",Guinea,2002,36.92226
"Rate of out-of-school children of primary school age, male (%)",Guinea,2003,33.80663
"Rate of out-of-school children of primary school age, male (%)",Guinea,2004,31.08579
"Rate of out-of-school children of primary school age, male (%)",Guinea,2005,29.60925
"Rate of out-of-school children of primary school age, male (%)",Guinea,2006,27.96132
"Rate of out-of-school children of primary school age, male (%)",Guinea,2007,26.06124
"Rate of out-of-school children of primary school age, male (%)",Guinea,2008,26.9309
"Rate of out-of-school children of primary school age, male (%)",Guinea,2009,25.40611
"Rate of out-of-school children of primary school age, male (%)",Guinea,2010,21.8549
"Rate of out-of-school children of primary school age, male (%)",Guinea,2011,18.56271
"Rate of out-of-school children of primary school age, male (%)",Guinea,2012,18.85702
"Rate of out-of-school children of primary school age, male (%)",Guinea,2013,17.54365
"Rate of out-of-school children of primary school age, male (%)",Guinea,2014,13.707
"Rate of out-of-school children of primary school age, male (%)",Guinea,2016,13.69062
"Rate of out-of-school children of primary school age, male (%)",Swaziland,2009,25.73887
"Rate of out-of-school children of primary school age, male (%)",Swaziland,2010,20.12127
"Rate of out-of-school children of primary school age, male (%)",Swaziland,2011,17.09365
"Rate of out-of-school children of primary school age, male (%)",Swaziland,2012,19.40189
"Rate of out-of-school children of primary school age, male (%)",Swaziland,2013,23.35932
"Rate of out-of-school children of primary school age, male (%)",Swaziland,2014,22.53014
"Rate of out-of-school children of primary school age, male (%)",Swaziland,2015,23.35034
"Rate of out-of-school children of primary school age, male (%)",Swaziland,2016,23.51309
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2000,23.50039
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2001,23.21348
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2002,22.42091
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2003,22.21975
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2004,24.19306
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2005,24.82933
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2006,24.38244
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2007,26.436
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2008,25.52031
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2009,25.1831
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2010,22.68818
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2011,20.96198
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2012,19.82773
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2013,22.12935
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2014,21.34948
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2015,21.20456
"Rate of out-of-school children of primary school age, male (%)",Lesotho,2016,20.8057
"Rate of out-of-school children of primary school age, male (%)",Rwanda,2002,18.1841
"Rate of out-of-school children of primary school age, male (%)",Rwanda,2003,11.81909
"Rate of out-of-school children of primary school age, male (%)",Rwanda,2016,4.6462
"Rate of out-of-school children of primary school age, male (%)",Zambia,2000,32.6428
"Rate of out-of-school children of primary school age, male (%)",Zambia,2001,33.40736
"Rate of out-of-school children of primary school age, male (%)",Zambia,2002,30.4294
"Rate of out-of-school children of primary school age, male (%)",Zambia,2004,18.92863
"Rate of out-of-school children of primary school age, male (%)",Zambia,2005,11.69367
"Rate of out-of-school children of primary school age, male (%)",Zambia,2006,14.14733
"Rate of out-of-school children of primary school age, male (%)",Zambia,2007,10.79236
"Rate of out-of-school children of primary school age, male (%)",Zambia,2009,14.08108
"Rate of out-of-school children of primary school age, male (%)",Zambia,2010,16.56503
"Rate of out-of-school children of primary school age, male (%)",Zambia,2011,12.68884
"Rate of out-of-school children of primary school age, male (%)",Zambia,2012,11.31569
"Rate of out-of-school children of primary school age, male (%)",Zambia,2013,13.04589
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2000,54.06727
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2001,50.19332
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2002,48.2413
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2003,47.83867
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2004,45.9154
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2005,35.55958
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2006,31.5817
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2007,26.55577
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2008,20.95959
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2009,22.03687
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2010,23.83278
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2011,19.58264
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2012,18.39284
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2014,10.84466
"Rate of out-of-school children of primary school age, male (%)",Ethiopia,2015,10.86284
"Rate of out-of-school children of primary school age, male (%)",Egypt,2000,11.73662
"Rate of out-of-school children of primary school age, male (%)",Egypt,2001,10.63563
"Rate of out-of-school children of primary school age, male (%)",Egypt,2002,9.54818
"Rate of out-of-school children of primary school age, male (%)",Egypt,2003,7.97868
"Rate of out-of-school children of primary school age, male (%)",Egypt,2004,6.24929
"Rate of out-of-school children of primary school age, male (%)",Egypt,2012,3.34075
"Rate of out-of-school children of primary school age, male (%)",Egypt,2014,3.66205
"Rate of out-of-school children of primary school age, male (%)",Egypt,2016,1.87068
"Rate of out-of-school children of primary school age, male (%)",Cameroon,2011,3.08065
"Rate of out-of-school children of primary school age, male (%)",Cameroon,2012,0.47019
"Rate of out-of-school children of primary school age, male (%)",Cameroon,2014,0.46492
"Rate of out-of-school children of primary school age, male (%)",Cameroon,2016,0.53512
"Rate of out-of-school children of primary school age, male (%)",Uganda,2009,10.29659
"Rate of out-of-school children of primary school age, male (%)",Uganda,2010,13.55622
"Rate of out-of-school children of primary school age, male (%)",Uganda,2011,10.81948
"Rate of out-of-school children of primary school age, male (%)",Uganda,2013,10.40686
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2000,6.90701
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2001,7.71452
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2002,6.29423
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2003,7.0667
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2004,6.30086
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2005,4.52374
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2006,4.61404
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2007,4.09783
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2008,3.72078
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2009,4.12678
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2010,4.51313
