Indicator,Country,Year,Value
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2014,10.98997
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2015,6.39193
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Nauru,2014,11.53846
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Nauru,2016,14.25287
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Chad,2000,83.94797
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Chad,2001,81.10488
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Chad,2002,79.3847
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Chad,2003,78.70559
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Benin,2013,42.51914
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2000,65.91215
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2001,62.98684
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2002,51.03667
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2004,57.72869
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2005,52.70794
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2006,51.2897
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2007,47.59824
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2008,44.89349
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2009,43.56059
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2010,42.97004
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2011,44.72787
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2012,46.22793
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2013,45.1823
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2014,46.79613
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mozambique,2015,47.65797
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sudan,2011,57.95723
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sudan,2012,49.52909
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2001,57.0083
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2002,55.74481
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2004,55.3494
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2005,52.36947
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2006,54.89342
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2012,32.19696
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2013,43.17649
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2014,41.12406
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritania,2016,45.82878
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2000,75.35371
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2001,72.46141
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2002,69.2541
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2003,66.70239
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2004,63.57395
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2005,59.63895
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2006,54.3506
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2007,50.88229
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2008,48.07531
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2009,47.41636
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2010,44.16887
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2011,44.48682
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2012,41.8007
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2014,48.42672
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ethiopia,2015,49.05371
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea,2001,78.28267
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea,2002,74.49898
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea,2003,72.62662
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea,2004,69.82559
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea,2005,65.6962
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea,2006,63.15128
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea,2011,60.06854
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea,2014,58.50067
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Swaziland,2009,17.46879
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Swaziland,2010,20.04252
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Swaziland,2011,19.49588
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Swaziland,2012,17.43691
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Swaziland,2013,14.59718
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Swaziland,2014,14.86201
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Swaziland,2015,13.43984
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2000,10.47653
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2001,8.59328
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2002,8.26338
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2003,4.58353
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2004,5.95117
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2005,5.00021
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2006,6.69431
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2007,12.0365
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2008,13.51252
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2009,13.24945
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2010,14.30003
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2011,15.4482
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2012,17.89288
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2013,17.09141
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2014,18.49689
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2015,19.63054
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Lesotho,2016,20.51025
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Djibouti,2001,80.87687
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Djibouti,2002,78.37177
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Djibouti,2004,74.51233
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Djibouti,2005,75.01123
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Djibouti,2006,75.12272
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Djibouti,2007,71.88565
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Djibouti,2008,62.85516
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Djibouti,2015,55.83146
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Zimbabwe,2000,14.04118
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Zimbabwe,2001,13.54969
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Zimbabwe,2002,21.03636
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Zimbabwe,2003,26.59499
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Zimbabwe,2012,15.02457
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Zimbabwe,2013,11.17144
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritius,2000,11.12975
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritius,2001,9.33552
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritius,2002,10.59228
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritius,2004,5.78874
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritius,2015,5.62826
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mauritius,2016,5.18024
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Guinea-Bissau,2000,64.61159
"Rate of out-of-school adolescents of lower secondary school age, female (%)",South Africa,2000,11.30795
"Rate of out-of-school adolescents of lower secondary school age, female (%)",South Africa,2001,12.48599
"Rate of out-of-school adolescents of lower secondary school age, female (%)",South Africa,2002,10.95548
"Rate of out-of-school adolescents of lower secondary school age, female (%)",South Africa,2003,8.96841
"Rate of out-of-school adolescents of lower secondary school age, female (%)",South Africa,2004,6.86275
"Rate of out-of-school adolescents of lower secondary school age, female (%)",South Africa,2005,6.07544
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Central African Republic,2009,67.73411
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Central African Republic,2011,66.08026
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Central African Republic,2012,66.31304
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mali,2009,61.86743
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mali,2010,59.98639
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mali,2011,57.23336
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mali,2014,52.00392
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mali,2015,48.45206
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Mali,2016,51.16808
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2000,50.75558
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2003,40.19229
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2005,36.43489
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2006,36.68333
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2007,35.00354
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2008,33.78996
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2010,28.76888
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2011,24.62627
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Morocco,2012,19.44128
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sierra Leone,2013,43.79619
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sierra Leone,2015,43.99402
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Angola,2008,34.29283
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Angola,2009,34.67858
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Angola,2010,34.27088
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Liberia,2014,26.56694
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Liberia,2015,31.27722
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cameroon,2012,40.94777
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cameroon,2014,38.91646
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cameroon,2015,37.7541
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cameroon,2016,38.63832
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Togo,2001,52.72061
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Togo,2003,49.06132
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Togo,2004,48.29126
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Togo,2005,46.99654
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Togo,2007,50.02242
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Senegal,2004,65.96552
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Senegal,2005,58.49738
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Senegal,2006,60.65234
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Egypt,2003,20.39819
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Egypt,2004,19.90974
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Egypt,2014,7.82473
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Egypt,2016,6.02912
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Madagascar,2001,45.59153
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Madagascar,2003,39.52514
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2000,63.67007
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2001,65.07632
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2002,63.22979
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2003,61.04701
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2004,62.72255
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2005,61.66291
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2006,61.64442
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2007,60.76052
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2008,58.27213
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2009,57.32046
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2010,56.73438
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2011,57.23218
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2012,58.53764
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2013,62.57836
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2014,62.4964
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Eritrea,2015,61.69736
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Gambia,2006,33.4487
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Gambia,2007,28.26655
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Gambia,2008,23.93666
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Gambia,2010,21.96064
"Rate of out-of-school adolescents of lower secondary school age, female (%)",South Sudan,2011,59.48326
"Rate of out-of-school adolescents of lower secondary school age, female (%)",South Sudan,2015,66.78268
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cote d'Ivoire,2014,57.08775
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cote d'Ivoire,2016,52.11158
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2000,18.39113
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2001,14.76289
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2002,13.98364
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2003,10.79777
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2004,11.55121
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2005,9.97979
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2006,11.94334
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2007,16.93212
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2008,17.72101
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2009,18.55797
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2010,19.09177
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2011,20.30043
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2012,21.99844
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2013,21.70542
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2014,22.79563
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2015,23.54941
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Lesotho,2016,24.57425
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2000,66.23682
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2001,62.42461
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2002,58.19133
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2003,54.83554
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2004,52.34841
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2005,49.20697
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2006,45.03075
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2007,42.83605
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2008,41.63643
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2009,43.38617
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2010,40.9883
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2011,41.95075
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2012,40.22456
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2014,47.13095
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ethiopia,2015,46.83714
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",South Africa,2000,11.84051
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",South Africa,2001,13.07569
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",South Africa,2002,11.27981
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",South Africa,2003,9.59397
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",South Africa,2004,7.66541
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",South Africa,2005,6.86288
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Seychelles,2001,3.25659
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Seychelles,2002,2.99341
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea,2001,66.58815
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea,2002,62.49644
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea,2003,61.61658
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea,2004,58.95182
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea,2005,55.23071
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea,2006,53.48053
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea,2011,51.35491
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea,2014,49.70744
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritius,2000,12.06977
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritius,2001,9.27596
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritius,2002,12.4955
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritius,2004,7.08502
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritius,2015,7.07469
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritius,2016,6.44215
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2002,17.55233
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2004,24.81589
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2005,34.79307
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2006,32.19033
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2007,25.6815
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2008,22.077
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2009,24.58356
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2013,22.44281
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2014,23.23179
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2015,23.08829
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Malawi,2016,23.99477
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Central African Republic,2009,58.17714
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Central African Republic,2011,55.14602
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Central African Republic,2012,55.35871
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Comoros,2013,26.55138
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Comoros,2014,27.8646
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Togo,2000,40.18003
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Togo,2001,38.59498
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Togo,2003,35.47196
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Togo,2004,35.43905
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Togo,2005,34.31652
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Togo,2007,38.84699
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Namibia,2000,15.22715
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Namibia,2001,16.67114
