"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2013","2013",17691943,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2014","2014",17852099,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2015","2015",18309650,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2016","2016",18608226,"‡","UIS Estimation"
"OFSPPT_1_F_CP","Out-of-school children of primary school age in pre-primary education, female (number)","CAF","Central African Republic","2003","2003",,"n","Magnitude nil or negligible"
"OFSPPT_1_F_CP","Out-of-school children of primary school age in pre-primary education, female (number)","CAF","Central African Republic","2008","2008",487,,
"OFSPPT_1_F_CP","Out-of-school children of primary school age in pre-primary education, female (number)","CAF","Central African Republic","2009","2009",,"n","Magnitude nil or negligible"
"OFSPPT_1_F_CP","Out-of-school children of primary school age in pre-primary education, female (number)","CAF","Central African Republic","2011","2011",,"n","Magnitude nil or negligible"
"OFSPPT_1_CP","Out-of-school children of primary school age in pre-primary education, both sexes (number)","CAF","Central African Republic","2003","2003",,"n","Magnitude nil or negligible"
"OFSPPT_1_CP","Out-of-school children of primary school age in pre-primary education, both sexes (number)","CAF","Central African Republic","2008","2008",935,,
"OFSPPT_1_CP","Out-of-school children of primary school age in pre-primary education, both sexes (number)","CAF","Central African Republic","2009","2009",,"n","Magnitude nil or negligible"
"OFSPPT_1_CP","Out-of-school children of primary school age in pre-primary education, both sexes (number)","CAF","Central African Republic","2011","2011",,"n","Magnitude nil or negligible"
"OFSPPT_1_M_CP","Out-of-school children of primary school age in pre-primary education, male (number)","CAF","Central African Republic","2003","2003",,"n","Magnitude nil or negligible"
"OFSPPT_1_M_CP","Out-of-school children of primary school age in pre-primary education, male (number)","CAF","Central African Republic","2008","2008",448,,
"OFSPPT_1_M_CP","Out-of-school children of primary school age in pre-primary education, male (number)","CAF","Central African Republic","2009","2009",,"n","Magnitude nil or negligible"
"OFSPPT_1_M_CP","Out-of-school children of primary school age in pre-primary education, male (number)","CAF","Central African Republic","2011","2011",,"n","Magnitude nil or negligible"
"FOFSPPTP_1","Out-of-school children of primary school age in pre-primary education, percentage female (%)","CAF","Central African Republic","2003","2003",,"a","Category not applicable"
"FOFSPPTP_1","Out-of-school children of primary school age in pre-primary education, percentage female (%)","CAF","Central African Republic","2008","2008",52.08556,,
"FOFSPPTP_1","Out-of-school children of primary school age in pre-primary education, percentage female (%)","CAF","Central African Republic","2009","2009",,"a","Category not applicable"
"FOFSPPTP_1","Out-of-school children of primary school age in pre-primary education, percentage female (%)","CAF","Central African Republic","2011","2011",,"a","Category not applicable"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2000","2000",41592616,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2001","2001",40469979,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2002","2002",39656119,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2003","2003",37944950,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2004","2004",36965738,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2005","2005",35417987,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2006","2006",34659946,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2007","2007",32454848,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2008","2008",32358240,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2009","2009",32608726,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2010","2010",33628015,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2011","2011",32161840,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2012","2012",32078046,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2013","2013",31961363,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2014","2014",32282076,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2015","2015",33091555,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40606","Africa (Sub-Saharan) ","2016","2016",33648956,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2000","2000",4878563,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2001","2001",4515851,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2002","2002",4181742,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2003","2003",3945226,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2004","2004",3711461,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2005","2005",3734483,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2006","2006",3649284,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2007","2007",3122551,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2008","2008",2791008,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2009","2009",2749660,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2010","2010",2628578,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2011","2011",3131217,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2012","2012",3193968,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2013","2013",3142096,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2014","2014",3254194,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2015","2015",3181524,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40603","Africa (Northern)","2016","2016",2940229,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2000","2000",22562688,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2001","2001",21980901,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2002","2002",21615994,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2003","2003",20750245,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2004","2004",20152172,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2005","2005",19379863,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2006","2006",18850889,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2007","2007",18220444,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2008","2008",17979314,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2009","2009",18006759,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2010","2010",18513756,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2011","2011",17846787,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2012","2012",17768998,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2013","2013",17792223,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2014","2014",17944415,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2015","2015",18398266,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2016","2016",18717211,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2000","2000",19029928,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2001","2001",18489079,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2002","2002",18040125,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2003","2003",17194705,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2004","2004",16813567,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2005","2005",16038124,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2006","2006",15809058,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2007","2007",14234405,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2008","2008",14378926,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2009","2009",14601967,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2010","2010",15114259,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2011","2011",14315053,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2012","2012",14309048,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2013","2013",14169140,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2014","2014",14337661,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2015","2015",14693289,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2016","2016",14931745,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2000","2000",3276156,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2001","2001",3037081,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2002","2002",2822008,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2003","2003",2627513,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2004","2004",2471733,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2005","2005",2439308,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2006","2006",2383762,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2007","2007",2112226,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2008","2008",1955495,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2009","2009",1941929,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2010","2010",1773326,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2011","2011",1980933,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2012","2012",2188157,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2013","2013",2532061,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2014","2014",2796405,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2015","2015",2738769,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2016","2016",2754003,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2000","2000",2143489,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2001","2001",1994185,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2002","2002",1859173,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2003","2003",1760931,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2004","2004",1674145,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2005","2005",1665857,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2006","2006",1624204,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2007","2007",1387710,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2008","2008",1226462,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2009","2009",1218635,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2010","2010",1193866,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2011","2011",1432691,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2012","2012",1647459,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2013","2013",1643685,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2014","2014",1734396,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2015","2015",1689587,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40603","Africa (Northern)","2016","2016",1584499,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2000","2000",8179863,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2001","2001",7564388,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2002","2002",7044597,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2003","2003",6527087,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2004","2004",6183143,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2005","2005",6097862,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2006","2006",5930064,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2007","2007",5250396,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2008","2008",4867786,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2009","2009",4803542,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2010","2010",4375958,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2011","2011",4766152,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2012","2012",4840218,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2013","2013",5444849,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2014","2014",5887996,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2015","2015",5796756,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40617","Western Asia and Northern Africa","2016","2016",5748185,,
