"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.66","96.97","97.2","97.4","97.57","97.7","97.9","98.03","98.1","98.24","98.34","98.43","98.48","98.55","98.61","98.67","98.75","",
"Australia","AUS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.19","76.11","78.64","80.9","83.01","84.79","86.11","87.67","89.21","90.38","91.38","92.25","92.96","93.71","94.44","95.1","95.54","",
"Burundi","BDI","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.619999999999998","0.619999999999998","0.629999999999997","0.639999999999996","0.649999999999995","0.670000000000004","0.670000000000004","0.690000000000002","0.700000000000001","0.690000000000002","0.719999999999998","0.760000000000005","0.770000000000004","0.770000000000004","0.81","0.829999999999997","0.849999999999995","",
"Belgium","BEL","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83","2.06","2.28","2.58","2.89","3.24","3.49","3.91","4.19","4.46","4.78","4.99000000000001","5.34","5.58","5.85","6.06","6.44","",
"Burkina Faso","BFA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.83","3.06","3.35","3.57","3.85","4.21","4.48","4.8","5.16","5.51","6.01","6.43","6.82","7.33","7.88","8.46","8.93000000000001","",
"Bangladesh","BGD","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24","7.78","8.16","8.73","9.2","9.74","10.36","10.92","11.59","12.2","12.9","13.63","14.33","15.06","15.96","16.68","17.72","",
"Bulgaria","BGR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.96","68.7","72.09","75.09","77.62","79.75","81.48","83","84.2","85.22","86.04","86.7","87.27","87.71","88.11","88.42","88.65","",
"Bahrain","BHR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahamas, The","BHS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bosnia and Herzegovina","BIH","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.07","39.56","41.48","42.57","44.63","45.7","47.63","49.34","50.79","52.48","54.24","55.89","57.44","58.82","60.38","62.22","63.38","",
"Belarus","BLR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.69","94.36","94.84","95.32","95.7","96.13","96.43","96.75","96.93","97.19","97.43","97.57","97.69","97.85","97.91","98.01","98.18","",
"Belize","BLZ","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.18","78.87","79.42","80.01","80.57","80.98","81.47","82.07","82.48","82.82","83.31","83.78","84.17","84.54","84.84","85.18","85.43","",
"Bermuda","BMU","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.29","66.5","67.76","69.01","70.11","71.49","72.6","73.66","74.69","75.8","76.55","77.59","78.52","79.5","80.45","62.55","64","",
"Brazil","BRA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.91","87.89","88.8","89.55","90.3","91.04","91.67","92.17","92.73","93.27","93.66","94.07","94.48","94.77","95.1","95.38","95.59","",
"Barbados","BRB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4","97.66","97.91","98.16","98.35","98.49","98.65","98.8","98.92","99.01","99.08","99.17","99.24","99.3","99.36","99.41","99.44","",
"Brunei Darussalam","BRN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bhutan","BTN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.67","33.34","35.16","36.36","38.11","39.58","40.85","41.81","43.54","44.98","46.33","47.2","48.11","49.76","50.65","51.75","52.5","",
"Botswana","BWA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.12","46.53","47.72","49.24","50.64","52.01","53","54.39","55.38","56.73","57.59","58.72","59.92","61.05","62.12","63.15","64.08","",
"Central African Republic","CAF","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.570000000000004","0.600000000000001","0.600000000000001","0.609999999999999","0.639999999999996","0.629999999999997","0.690000000000002","0.680000000000003","0.729999999999997","0.739999999999996","0.780000000000003","0.819999999999999","0.839999999999996","0.839999999999996","0.870000000000004","0.919999999999999","0.970000000000004","",
"Canada","CAN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Central Europe and the Baltics","CEB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.4801551605462","88.504329539912","89.4321452769188","90.2514764885356","90.9961094626576","91.5974782146279","92.2070788222077","92.7521060128688","93.2573792169193","93.6658426054721","94.0442366813313","94.3678080794948","94.6649573070051","94.8847791848689","95.1382272082721","95.3351118903413","95.4853583595363","",
"Switzerland","CHE","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Channel Islands","CHI","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.1","86.65","87.33","87.88","88.52","88.95","89.38","89.87","90.21","90.53","90.8","91.15","91.39","91.67","91.91","92","92.28","",
"China","CHN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.78","47.95","48.61","49.52","50.04","50.83","51.8","52.5","53.37","54.07","54.91","55.66","56.4","57.24","57.8","58.54","59.26","",
"Ivory Coast","CIV","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4105634689331","18.539434671402","18.6207115650177","18.6635613441467","18.67715716362","18.6706602573395","18.6532378196716","18.632560968399","18.6102688312531","18.5865104198456","18.5614407062531","18.535190820694","18.5079216957092","18.4797763824463","18.4508979320526","17.96","18.23","",
"Cameroon","CMR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.88","10.57","11.27","11.91","12.64","13.5","14.13","15.06","15.87","16.76","17.6","18.45","19.44","20.22","21.06","21.98","23.04","",
"Democratic Republic of the Congo","COD","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.57","3.62","3.63","3.61","3.61","3.62","3.61","3.65","3.68000000000001","3.73","3.77999999999999","3.84","3.83","3.9","3.93","3.94","4.02","",
"Republic of Congo","COG","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10.5","11.08","11.76","12.52","13.25","14.07","14.86","15.71","16.63","17.53","18.52","19.64","20.63","21.59","22.74","24.13","",
"Colombia","COL","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.58","80.86","81.88","82.99","83.86","84.83","85.69","86.3","87.24","87.89","88.49","89.05","89.62","90.12","90.87","91.29","91.79","",
"Comoros","COM","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.629999999999997","0.749999999999995","0.900000000000001","1.06000000000001","1.29","1.53","1.82","2.11","2.58","3.12","3.68000000000001","4.31","5.10000000000001","6.06","7.05","8.15","9.34","",
"Cape Verde","CPV","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.79","58.2","59.38","60.37","61.44","62.64","63.4","64.56","65.39","66.33","67.17","67.96","68.49","69.48","70.06","70.63","71.05","",
"Costa Rica","CRI","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.8","88.34","88.76","89.31","89.65","90.07","90.55","90.8","91.2","91.51","91.89","92.13","92.53","92.69","92.91","93.2","93.45","",
"Caribbean small states","CSS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.312804622053","79.4867359715722","80.6509681131292","81.6302404233348","82.7399791241493","83.6559552151663","84.5853404649854","85.5363920752228","86.3557249262724","87.1843093325863","87.9279560289549","88.666086169598","89.2600138264371","89.8793808653823","90.4933123109384","91.0135941577927","91.5059230785793","",
"Cuba","CUB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.34","69.42","70.37","71.31","72.2","73","73.78","74.61","75.35","75.86","76.59","77.01","77.76","78.2","78.64","79.04","79.44","",
"Curacao","CUW","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Czech Republic","CZE","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.2","93.82","94.4","94.83","95.26","95.65","95.91","96.19","96.46","96.68","96.78","96.77","96.99","97.07","97.14","97.17","97.13","",
"Germany","DEU","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Djibouti","DJI","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","5.51","5.74","6.02","6.23","6.49","6.85","7.17","7.59","7.90999999999999","8.38","8.84","9.25","9.79","10.29","10.89","11.52","",
"Dominica","DMA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.36","79.5","80.85","81.69","82.73","83.74","84.47","85.29","85.97","86.86","87.45","88.01","88.66","89.19","89.67","90.06","90.6","",
"Denmark","DNK","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Dominican Republic","DOM","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.23","81.07","81.79","82.68","83.43","84.1","84.73","85.58","86.2","86.73","87.31","87.9","88.4","88.99","89.5","89.93","90.41","",
"Algeria","DZA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.47","87.68","88.87","89.4","90.3","90.97","91.09","91.56","92.06","92.42","92.41","92.49","92.47","92.83","93.1","92.7","92.62","",
"East Asia & Pacific (excluding high income)","EAP","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.1936784283158","40.3487882045905","41.2261787495948","42.2911930539749","43.189926202806","44.3470278956696","45.6915728537118","46.8740935504906","48.2387916361683","49.5032417103446","50.8408552556611","52.0320343442221","53.236411838575","54.4463064619281","55.4100626981223","56.4242130553501","57.3426815635153","",
"Early-demographic dividend","EAR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.0983360061448","33.4484461973944","34.5855589968783","35.5775162721383","36.9013993790723","37.9934190070014","39.3171795230773","40.5615240497438","41.7946510977699","42.8500733000042","44.2619703911865","45.340430667856","46.4876462667791","47.584105646556","48.5593232389209","49.433263826176","50.3688709187217","",
"East Asia & Pacific","EAS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.1714211460272","46.1931697886667","46.963187365351","47.8997041345409","48.6864266873005","49.7030768705523","50.8993564073531","51.9490927259564","53.1771561167854","54.3045905899846","55.5012853233396","56.5571584671576","57.6313554737815","58.7082555871031","59.5635946968132","60.464104195808","61.2801174452097","",
"Europe & Central Asia (excluding high income)","ECA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.4340533039873","83.6047941233906","84.7095774262146","85.6909842167269","86.6230688208194","87.4981519055078","88.3542026809982","89.0923898501897","89.8259573944462","90.4392582732363","91.0788607904752","91.6326522505601","92.1379469827345","92.5944871118043","93.0645241041585","93.4615936826999","93.7982231052137","",
"Europe & Central Asia","ECS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2727856700938","92.8198139161255","93.3362888954357","93.792774264871","94.2213135602126","94.6169087386661","95.0012944480984","95.3311965533548","95.655993182303","95.9205013921633","96.1894791968305","96.4138609613611","96.6271606222381","96.8182703342678","97.016053395332","97.1803184928043","97.3180641149077","",
"Ecuador","ECU","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.18","87.89","88.85","89.75","90.29","90.83","91.62","92.1","92.57","93.09","93.57","93.99","94.39","94.73","95.02","95.24","95.58","",
"Egypt","EGY","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.28","85.24","87.71","88.85","90.28","91.98","93.14","94","94.6","95.34","95.99","96.27","96.48","96.85","97.11","97.31","97.62","",
"Euro area","EMU","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.236624496519","99.297487968763","99.3511785376063","99.4031743491107","99.4486191833548","99.4845398701045","99.52041406311","99.5501910734215","99.5792370324553","99.6029864078335","99.6238746792168","99.6364886796948","99.652654482605","99.6647547926747","99.6765910690995","99.6844338616227","99.6869874232627","",
"Eritrea","ERI","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.08","6.49","7.07","7.56","7.88","8.76","9.3","9.96","10.58","11.37","12.13","12.73","13.4","14.01","14.78","15.6","16.32","",
"Spain","ESP","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Estonia","EST","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.41","81","82.27","83.25","84.79","85.64","86.64","87.58","88.38","89.26","90.04","90.54","91.18","91.65","92.14","92.61","92.89","",
"Ethiopia","ETH","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.07","1.18","1.31","1.45999999999999","1.58","1.79","1.96","2.1","2.36","2.51","2.69","2.82","3.01","3.11","3.25","3.4","3.51","",
"European Union","EUU","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.9586373839741","97.2258659761203","97.465966755791","97.6763470043019","97.8648239095491","98.0195056303739","98.1714330798851","98.3081550639581","98.4324780115263","98.5316945677902","98.6251942243989","98.6986275941969","98.7706023382178","98.8251311617275","98.8859900021581","98.9342006210463","98.9700825179684","",
"Fragile and conflict affected situations","FCS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.086616380338","19.6437523658467","20.192323180521","20.6905713401208","21.1708313515573","21.7048665590245","22.2266738974031","22.7483697047772","23.2610539965165","23.7371550467015","24.2274242378642","24.6570633531521","25.1512776296206","25.5772041044769","25.9418137508034","26.3735833748668","26.90167804069","",
"Finland","FIN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Fiji","FJI","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.13","31.58","32.43","32.91","33.47","33.98","34.69","35.39","35.8","36.33","36.91","37.47","37.93","38.32","38.83","39.16","39.56","",
"France","FRA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Faroe Islands","FRO","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.92","11.04","11.04","11.04","11.1","11.21","11.13","11.23","11.39","11.42","11.5","11.45","11.63","11.64","11.69","11.79","11.97","",
"Gabon","GAB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.72","60.59","62.4","64.33","65.35","67.19","68.85","69.84","71.14","72.06","73.57","74.64","75.75","76.53","77.3","78.13","79.12","",
"United Kingdom","GBR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Georgia","GEO","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.19","43.74","46.15","48.62","51.27","53.61","56.49","58.89","61.46","63.75","66.26","68.57","70.47","72.26","74.35","76.36","77.79","",
"Ghana","GHA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.89","6.48","7.15","7.76","8.54","9.44","10.17","11.04","12.07","13.11","14.05","15.11","16.43","17.58","18.82","20.37","21.71","",
"Gibraltar","GIB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15","1.19","1.18","1.21","1.25","1.19","1.23","1.25","1.25999999999999","1.23","1.22","1.24","1.25999999999999","1.23","1.25","1.24","1.24","",
